연번,시설종류,시설명,정원,주소,전화번호,데이터기준일자
1,노인요양시설,온누리요양센터,94,경기도 용인시 처인구 양지면 주북로441,031-334-9090,2019-03-31
2,노인요양시설,용인노인요양원,60,경기도 용인시 처인구 백암면 근삼로 159,031-334-3677,2019-03-31
3,노인요양시설,무지개너싱홈,18,경기도 용인시 기흥구 죽전로 57 호암B/D 8층 (보정동),031-889-9989,2019-03-31
4,노인요양시설,샤인빌시니어스(주),49,경기도 용인시 처인구 양지면 주북로 235번길140,031-322-0028,2019-03-31
5,노인요양시설,송은요양원(죽전점),40,"경기도 용인시 수지구 현암로 105 명지프라자 2,3층",031-896-8881,2019-03-31
6,노인요양시설,성은 실버케어스,41,경기도 용인시 수지구 푸른솔로 114 (죽전동),031-889-9795,2019-03-31
7,노인요양시설,대한간호노인요양원,97,경기도 용인시 처인구 낙은로76-27,031-333-2266,2019-03-31
8,노인요양시설,제일너싱홈,84,경기도 용인시 처인구 이동읍 백자로 181번길 15,031-323-3007,2019-03-31
9,노인요양시설,인보마을,80,경기도 용인시 처인구 포곡읍 백옥대로 1832번길 42,031-339-9141,2019-03-31
10,노인요양시설,행복한 집,72,경기도 용인시 처인구 포곡읍 백옥대로 1832번길 52,031-323-6052,2019-03-31
11,노인요양시설,소자의 집,14,경기도 용인시 처인구 이동읍 이원로 655,031-332-3680,2019-03-31
12,노인요양시설,작은손길공동체요양원,26,경기도 용인시 처인구 원삼면 보개원삼로 1684번길 49,031-321-7771,2019-03-31
13,노인요양시설,천상의집,29,경기도 용인시 처인구 백암면 한택로88번길 92,031-336-4993,2019-03-31
14,노인요양시설,용인효사랑,80,경기도 용인시 처인구 백암면 용천로71번길 31,031-322-1952,2019-03-31
15,노인요양시설,너싱홈예원(구성),66,경기도 용인시 기흥구 구성1로 22,031-286-6772,2019-03-31
16,노인요양시설,양지요양원,19,경기도 용인시 처인구 모현읍 오산로 99번길 5-14,031-334-6084,2019-03-31
17,노인요양시설,동백어르신요양원,41,"경기도 용인시 기흥구 동백중앙로273,4층",031-283-3877,2019-03-31
18,노인요양시설,가족이 행복한 요양원,48,경기도 용인시 수지구 동천로 12 5층,031-265-0625,2019-03-31
19,노인요양시설,아리실복지원,24,경기도 용인시 처인구 남사면 원암로407,031-332-7521,2019-03-31
20,노인요양시설,용인노인전문요양원,80,경기도 용인시 처인구 백암면 근삼로 172,031-334-3577,2019-03-31
21,노인요양시설,동수원노인전문요양원,90,경기도 용인시 기흥구 흥덕2로87번길17,031-212-2929,2019-03-31
22,노인요양시설,동백 사랑마루,33,"경기도 용인시 기흥구 동백중앙로 221, 5층 (중동)",031-286-3237,2019-03-31
23,노인요양시설,다산노인전문요양원,19,경기도 용인시 수지구 심곡로 90,031-896-1507,2019-03-31
24,노인요양시설,너싱홈 한솔,21,경기도 용인시 수지구 현암로 157 7층,031-262-2584,2019-03-31
25,노인요양시설,해피라이프요양원,25,경기도 용인시 수지구 신봉2로 73-2 아트프라자 301호,031-272-1024,2019-03-31
26,노인요양시설,사랑방노인요양원,26,경기도 용인시 기흥구 동백4로 7 MD타운 6층,031-8005-5833,2019-03-31
27,노인요양시설,상아요양원,29,경기도 용인시 경기도 용인시 처인구 백옥대로 1321(유방동),031-334-1357,2019-03-31
28,노인요양시설,자연요양원,89,경기도 용인시 처인구 이동읍 백옥대로 587번길 45,031-339-0093,2019-03-31
29,노인요양시설,즐거운우리집,79,경기도 용인시 처인구 양지면 주한로 58,031-335-9911,2019-03-31
30,노인요양시설,어르신요양센터,48,"경기도 용인시 수지구 풍덕천로190번길 25 신건프라자 4,5층",031-276-7500,2019-03-31
31,노인요양시설,강남실버요양원,71,경기도 용인시 기흥구 이현로 29번길 18-20,031-217-6969,2019-03-31
32,노인요양시설,사랑방요양원호수점(7층),47,경기도 용인시 기흥구 동백5로 23,031-8005-5688,2019-03-31
33,노인요양시설,연화노인간호센터,25,"경기도 용인시 수지구 정평로 132, 한빛크리닉4-6층",031-265-2335,2019-03-31
34,노인요양시설,풍산요양원,49,경기도 용인시 기흥구 한일로 12-2,031-335-2000,2019-03-31
35,노인요양시설,(주)무지개실버케어스,154,경기도 용인시 기흥구 기흥로 116번길 99,031-283-8411,2019-03-31
